num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,4,1.3333333333333333,3.25,32.5,88
5,6,1.2,4.333333333333333,21.666666666666664,63
2,9,4.5,4.666666666666667,46.66666666666667,69
5,8,1.6,3.75,18.75,197
4,6,1.5,2.6666666666666665,26.666666666666664,56
5,5,1.0,4.0,20.0,217
3,9,3.0,3.3333333333333335,33.333333333333336,248
7,11,1.5714285714285714,2.8181818181818183,14.09090909090909,144
2,5,2.5,4.6,45.99999999999999,2272
5,5,1.0,4.0,20.0,87
6,8,1.3333333333333333,1.625,16.25,158
4,10,2.5,5.9,29.5,413
3,5,1.6666666666666667,3.0,30.0,171
7,8,1.1428571428571428,2.875,14.375,51
5,12,2.4,1.9166666666666667,19.166666666666668,121
5,10,2.0,4.1,20.499999999999996,159
3,4,1.3333333333333333,3.5,35.0,154
6,6,1.0,3.3333333333333335,16.666666666666668,61
5,10,2.0,2.0,20.0,66
7,8,1.1428571428571428,2.75,13.75,214
3,5,1.6666666666666667,3.2,32.0,69
6,6,1.0,3.3333333333333335,16.666666666666668,110
6,9,1.5,1.6666666666666667,16.666666666666668,307
5,11,2.2,4.636363636363637,23.181818181818183,103
6,6,1.0,1.6666666666666667,16.666666666666668,43
5,5,1.0,4.0,20.0,84
3,7,2.3333333333333335,3.7142857142857144,37.142857142857146,299
8,11,1.375,2.5454545454545454,12.727272727272727,87
4,5,1.25,2.4,24.0,183
5,7,1.4,4.0,20.0,54
4,11,2.75,2.909090909090909,29.090909090909093,120
8,10,1.25,2.3,11.499999999999998,269
5,11,2.2,4.545454545454546,22.727272727272727,93
4,9,2.25,2.3333333333333335,23.333333333333336,211
6,6,1.0,3.3333333333333335,16.666666666666668,152
2,5,2.5,6.2,62.0,56
6,8,1.3333333333333333,3.25,16.25,205
5,9,1.8,1.8888888888888888,18.88888888888889,92
5,6,1.2,3.6666666666666665,18.333333333333332,50
3,4,1.3333333333333333,2.75,27.5,149
7,10,1.4285714285714286,2.6,13.0,182
4,10,2.5,2.2,22.000000000000004,108
7,7,1.0,2.857142857142857,14.285714285714286,86
4,5,1.25,2.4,24.0,128
7,9,1.2857142857142858,2.7777777777777777,13.88888888888889,164
3,8,2.6666666666666665,2.5,25.0,149
5,5,1.0,4.0,20.0,156
5,6,1.2,2.0,20.0,49
7,11,1.5714285714285714,2.909090909090909,14.545454545454547,106
4,10,2.5,2.8,28.0,220
5,6,1.2,4.0,20.0,70
3,6,2.0,3.1666666666666665,31.666666666666664,41
7,8,1.1428571428571428,2.75,13.75,231
3,9,3.0,3.5555555555555554,35.55555555555556,71
4,7,1.75,8.0,40.0,70
3,4,1.3333333333333333,3.25,32.5,158
5,10,2.0,3.9,19.5,137
4,10,2.5,2.8,28.0,88
6,7,1.1666666666666667,3.2857142857142856,16.428571428571427,64
3,5,1.6666666666666667,3.0,30.0,71
7,11,1.5714285714285714,3.6363636363636362,18.18181818181818,132
4,8,2.0,2.25,22.5,107
5,5,1.0,4.0,20.0,97
3,6,2.0,4.0,40.0,216
4,6,1.5,2.5,25.0,37
7,9,1.2857142857142858,2.5555555555555554,12.777777777777777,121
2,6,3.0,5.0,50.0,186
4,12,3.0,5.333333333333333,26.666666666666664,114
6,6,1.0,3.3333333333333335,16.666666666666668,54
4,9,2.25,2.888888888888889,28.888888888888886,173
4,7,1.75,5.428571428571429,27.142857142857146,125
2,10,5.0,6.2,62.0,135
3,5,1.6666666666666667,3.2,32.0,46
4,9,2.25,5.555555555555555,27.77777777777778,81
4,6,1.5,2.3333333333333335,23.333333333333336,58
8,11,1.375,2.4545454545454546,12.272727272727273,138
6,6,1.0,3.3333333333333335,16.666666666666668,52
2,8,4.0,5.0,50.0,60
8,8,1.0,2.5,12.5,67
5,11,2.2,2.1818181818181817,21.818181818181817,83
3,4,1.3333333333333333,3.5,35.0,110
6,8,1.3333333333333333,3.5,17.5,193
5,5,1.0,2.0,20.0,164
9,10,1.1111111111111112,2.2,11.000000000000002,321
5,5,1.0,4.0,20.0,71
3,8,2.6666666666666665,3.375,33.75,107
6,6,1.0,3.3333333333333335,16.666666666666668,118
4,9,2.25,2.2222222222222223,22.22222222222222,182
5,5,1.0,2.0,20.0,117
8,9,1.125,2.4444444444444446,12.222222222222223,167
3,5,1.6666666666666667,3.2,32.0,75
7,10,1.4285714285714286,2.8,14.0,220
5,5,1.0,4.0,20.0,117
4,8,2.0,2.0,20.0,116
6,6,1.0,3.3333333333333335,16.666666666666668,105
4,9,2.25,2.4444444444444446,24.444444444444446,212
5,7,1.4,4.285714285714286,21.428571428571427,831
3,10,3.3333333333333335,3.4,34.0,95
2,6,3.0,5.0,50.0,95
5,12,2.4,5.416666666666667,27.083333333333336,140
5,5,1.0,4.0,20.0,91
2,8,4.0,5.0,50.0,70
3,5,1.6666666666666667,3.6,36.0,49
4,9,2.25,5.777777777777778,28.888888888888886,71
5,5,1.0,4.0,20.0,79
3,8,2.6666666666666665,3.125,31.25,79
2,4,2.0,4.5,45.0,59
7,8,1.1428571428571428,3.0,15.0,220
4,5,1.25,4.6,22.999999999999996,145
5,10,2.0,1.9,19.0,158
3,5,1.6666666666666667,3.6,36.0,87
6,9,1.5,3.7777777777777777,18.88888888888889,301
5,6,1.2,4.0,20.0,46
6,10,1.6666666666666667,1.8,18.0,63
4,6,1.5,2.1666666666666665,21.666666666666664,143
6,10,1.6666666666666667,3.2,16.0,65
7,7,1.0,2.857142857142857,14.285714285714286,84
5,11,2.2,1.9090909090909092,19.09090909090909,107
4,6,1.5,2.5,25.0,54
8,12,1.5,2.3333333333333335,11.666666666666668,103
6,6,1.0,3.3333333333333335,16.666666666666668,85
5,9,1.8,2.2222222222222223,22.22222222222222,195
4,5,1.25,2.4,24.0,100
7,10,1.4285714285714286,2.6,13.0,180
5,5,1.0,4.0,20.0,142
3,8,2.6666666666666665,2.5,25.0,120
3,4,1.3333333333333333,3.25,32.5,82
7,8,1.1428571428571428,2.75,13.75,186
