num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,4,1.3333333333333333,3.25,32.5,88
2,5,2.5,15.4,77.0,130
1,8,8.0,10.0,100.0,167
6,9,1.5,2.888888888888889,14.444444444444443,189
4,6,1.5,2.6666666666666665,26.666666666666664,56
2,5,2.5,9.6,48.0,80
3,9,3.0,3.3333333333333335,33.333333333333336,248
7,11,1.5714285714285714,2.8181818181818183,14.09090909090909,143
2,5,2.5,4.6,45.99999999999999,2272
5,5,1.0,4.0,20.0,73
6,8,1.3333333333333333,1.625,16.25,158
2,9,4.5,14.444444444444445,72.22222222222223,107
3,5,1.6666666666666667,3.2,32.0,105
6,7,1.1666666666666667,3.4285714285714284,17.142857142857142,55
4,5,1.25,2.6,26.0,31
4,10,2.5,4.7,23.5,121
2,4,2.0,5.0,50.0,101
6,6,1.0,3.3333333333333335,16.666666666666668,51
5,10,2.0,2.0,20.0,66
4,8,2.0,5.0,25.0,154
2,5,2.5,5.6,56.0,65
6,6,1.0,3.3333333333333335,16.666666666666668,110
6,9,1.5,1.6666666666666667,16.666666666666668,307
3,10,3.3333333333333335,12.4,62.0,205
6,6,1.0,1.6666666666666667,16.666666666666668,43
2,4,2.0,14.0,70.0,91
3,7,2.3333333333333335,3.7142857142857144,37.142857142857146,299
8,10,1.25,2.4,12.0,116
4,5,1.25,2.4,24.0,183
2,6,3.0,12.333333333333334,61.66666666666667,89
4,10,2.5,2.6,26.0,104
8,10,1.25,2.3,11.499999999999998,269
3,10,3.3333333333333335,8.0,40.0,98
4,9,2.25,2.3333333333333335,23.333333333333336,211
5,5,1.0,4.0,20.0,177
1,5,5.0,10.0,100.0,41
5,8,1.6,3.625,18.125,152
4,9,2.25,2.4444444444444446,24.444444444444446,81
4,5,1.25,5.0,25.0,76
2,4,2.0,4.0,40.0,91
7,10,1.4285714285714286,2.6,13.0,183
4,10,2.5,2.2,22.000000000000004,108
1,6,6.0,20.0,100.0,106
4,5,1.25,2.4,24.0,128
7,9,1.2857142857142858,2.7777777777777777,13.88888888888889,164
2,7,3.5,4.714285714285714,47.142857142857146,256
3,4,1.3333333333333333,8.75,43.75,115
5,6,1.2,2.0,20.0,49
7,12,1.7142857142857142,2.6666666666666665,13.333333333333332,85
4,10,2.5,2.4,24.0,219
2,5,2.5,9.8,49.00000000000001,81
3,6,2.0,3.1666666666666665,31.666666666666664,41
7,8,1.1428571428571428,2.75,13.75,191
3,9,3.0,3.5555555555555554,35.55555555555556,71
1,6,6.0,20.0,100.0,145
5,5,1.0,2.0,20.0,64
4,9,2.25,6.888888888888889,34.44444444444444,318
5,11,2.2,2.090909090909091,20.90909090909091,177
6,7,1.1666666666666667,3.2857142857142856,16.428571428571427,64
3,5,1.6666666666666667,3.0,30.0,71
3,9,3.0,9.555555555555555,47.77777777777778,264
4,8,2.0,2.25,22.5,107
5,5,1.0,4.0,20.0,89
2,6,3.0,6.0,60.0,114
5,6,1.2,2.0,20.0,40
5,9,1.8,3.5555555555555554,17.77777777777778,81
1,5,5.0,10.0,100.0,42
1,10,10.0,20.0,100.0,1454
6,6,1.0,3.3333333333333335,16.666666666666668,55
4,9,2.25,2.888888888888889,28.888888888888886,173
1,6,6.0,20.0,100.0,65
1,10,10.0,10.0,100.0,94
2,5,2.5,5.6,56.0,336
2,9,4.5,10.555555555555555,52.77777777777777,106
3,5,1.6666666666666667,3.0,30.0,77
8,11,1.375,2.4545454545454546,12.272727272727273,139
1,5,5.0,20.0,100.0,83
1,8,8.0,10.0,100.0,123
8,8,1.0,2.5,12.5,67
5,11,2.2,2.1818181818181817,21.818181818181817,83
2,4,2.0,6.5,65.0,94
4,8,2.0,5.25,26.25,130
5,5,1.0,2.0,20.0,164
9,10,1.1111111111111112,2.2,11.000000000000002,302
3,4,1.3333333333333333,8.25,41.25,96
3,8,2.6666666666666665,3.25,32.5,93
6,6,1.0,3.3333333333333335,16.666666666666668,95
4,9,2.25,2.2222222222222223,22.22222222222222,182
5,5,1.0,2.0,20.0,110
7,8,1.1428571428571428,2.75,13.75,239
3,5,1.6666666666666667,3.2,32.0,75
6,10,1.6666666666666667,3.4,17.0,291
4,4,1.0,5.0,25.0,144
4,8,2.0,2.0,20.0,116
2,5,2.5,8.8,44.00000000000001,187
4,9,2.25,3.0,30.0,192
1,6,6.0,20.0,100.0,83
3,10,3.3333333333333335,3.4,34.0,95
1,6,6.0,10.0,100.0,95
4,11,2.75,10.090909090909092,50.45454545454545,97
1,5,5.0,20.0,100.0,129
2,8,4.0,5.0,50.0,70
3,5,1.6666666666666667,4.4,44.00000000000001,42
2,8,4.0,10.0,50.0,84
1,4,4.0,20.0,100.0,132
3,8,2.6666666666666665,3.125,31.25,79
1,4,4.0,10.0,100.0,92
3,8,2.6666666666666665,10.0,50.0,103
2,5,2.5,11.6,58.0,107
2,9,4.5,5.777777777777778,57.77777777777777,172
3,5,1.6666666666666667,3.6,36.0,87
4,9,2.25,5.555555555555555,27.77777777777778,209
4,5,1.25,4.6,22.999999999999996,61
6,10,1.6666666666666667,1.8,18.0,63
3,5,1.6666666666666667,3.0,30.0,43
6,10,1.6666666666666667,3.2,16.0,68
7,7,1.0,2.857142857142857,14.285714285714286,77
5,11,2.2,1.9090909090909092,19.09090909090909,107
4,6,1.5,2.5,25.0,54
8,12,1.5,2.25,11.25,102
5,5,1.0,4.0,20.0,160
6,10,1.6666666666666667,1.8,18.0,125
4,5,1.25,2.4,24.0,100
7,10,1.4285714285714286,2.6,13.0,183
5,5,1.0,4.0,20.0,125
3,8,2.6666666666666665,2.5,25.0,120
3,4,1.3333333333333333,3.25,32.5,82
7,8,1.1428571428571428,2.75,13.75,174
