num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,4,1.3333333333333333,3.25,32.5,88
2,5,2.5,14.8,74.0,84
1,8,8.0,10.0,100.0,167
6,9,1.5,2.888888888888889,14.444444444444443,105
4,6,1.5,2.6666666666666665,26.666666666666664,56
4,5,1.25,6.6,33.0,123
3,9,3.0,3.3333333333333335,33.333333333333336,248
7,11,1.5714285714285714,2.8181818181818183,14.09090909090909,135
2,5,2.5,4.6,45.99999999999999,2272
4,4,1.0,5.0,25.0,116
6,8,1.3333333333333333,1.625,16.25,158
3,9,3.0,10.222222222222221,51.11111111111111,113
3,5,1.6666666666666667,3.2,32.0,105
6,7,1.1666666666666667,3.4285714285714284,17.142857142857142,58
5,12,2.4,1.9166666666666667,19.166666666666668,121
5,10,2.0,3.8,19.0,142
2,4,2.0,5.5,55.0,88
5,5,1.0,4.0,20.0,63
5,10,2.0,2.0,20.0,66
2,7,3.5,9.571428571428571,47.857142857142854,261
3,5,1.6666666666666667,3.2,32.0,69
6,6,1.0,3.3333333333333335,16.666666666666668,111
6,9,1.5,1.6666666666666667,16.666666666666668,307
3,11,3.6666666666666665,13.363636363636363,66.81818181818181,133
4,5,1.25,2.6,26.0,65
2,4,2.0,14.0,70.0,91
3,7,2.3333333333333335,3.7142857142857144,37.142857142857146,299
9,11,1.2222222222222223,2.1818181818181817,10.909090909090908,99
4,5,1.25,2.4,24.0,183
2,6,3.0,12.333333333333334,61.66666666666667,89
4,11,2.75,2.909090909090909,29.090909090909093,120
8,10,1.25,2.3,11.499999999999998,288
3,10,3.3333333333333335,8.0,40.0,98
4,9,2.25,2.3333333333333335,23.333333333333336,211
5,5,1.0,4.0,20.0,190
1,5,5.0,10.0,100.0,41
5,8,1.6,4.125,20.625,140
4,9,2.25,2.4444444444444446,24.444444444444446,81
5,6,1.2,3.6666666666666665,18.333333333333332,51
2,4,2.0,4.0,40.0,91
