case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP
Case: 0001,370.4205389022827,608738.3853233173,58865.3783243878,19873.00699892947,400000.0,130000.0,"[[3, 4, 6, 7, 8, 10], [1, 2, 9], [5]]","[[3, 11, 7, 2, 6, 4], [18, 3, 2], [32]]","[[0.05799237191411139, 0.0004293528101896908, 0.03394010676118257, 0.007161668236272297, 0.002648967420938536, 0.038996358024794515], [0.195280197630468, 0.019126448465183517, 0.03844994047933667], [0.37940812078510394]]","[1, 2, 1]",3224.667769159889,0.5325507376092554
Case: 0002,3180.764657974243,83241.62500755492,17861.650888433494,7679.974119121416,50000.0,7700.0,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20], [17]]","[[8, 5, 3, 17, 11, 1, 3, 5, 11, 6, 2, 20, 7, 2, 2, 5, 9, 3, 2], [8]]","[[0.114150891382009, 0.021172293975799988, 0.06726629408413473, 0.00683047617132244, 0.09225568756173913, 0.008948705606750044, 0.004351290207845136, 0.0332449740000804, 0.047564451218964916, 0.06410668158621285, 0.03171310495187775, 0.00334070615465454, 0.03599809393408662, 0.0008772474584770582, 0.04863159975237147, 0.08177063783707826, 0.08621306009843864, 3.728291766757813e-05, 0.01509112112572266], [0.036872666168481054]]","[4, 1]",6063.55118317125,7.85657231737692
Case: 0003,5888.406305074692,115573.59719637444,19795.45350422333,7778.143692151102,80000.0,8000.0,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[22, 14, 48, 19, 29, 16, 7, 5, 4, 3]]","[[0.008844606049262078, 0.0009236309541279268, 0.08749692942078342, 0.2103308283746502, 0.09532566256227455, 0.2331886649128771, 0.071155696792857, 0.008924571585507966, 0.05282121962967715, 0.03639149586095097]]",[8],3066.5835230522353,2.7256820912129385
Case: 0004,3130.765811920166,1227065.4402054958,42542.30207658137,14523.13812891438,900000.0,270000.0,"[[4, 9, 11], [1, 5, 8, 12, 15, 19], [6, 10, 18], [2, 20], [7, 14, 16, 17], [3, 13]]","[[2, 3, 6], [2, 2, 4, 11, 4, 7], [25, 4, 3], [2, 6], [2, 2, 2, 4], [8, 7]]","[[0.04102230011873659, 0.028073269642619983, 0.004528017664818984], [0.034154442025047665, 0.028867766773011876, 0.0013363535818617094, 0.00044309294210948956, 0.004717399055469558, 0.03265347728342159], [0.038769582211999366, 0.005248152009856231, 0.04879752424903534], [0.031173146597834163, 0.06457316510216059], [0.033566769862065686, 0.026768089766565428, 0.05068504819524286, 0.004527511760258365], [0.04432437689160049, 0.07461858607951828]]","[1, 1, 2, 1, 1, 3]",-312695.321628124,-20.30804585874442
Case: 0005,301.3875229358673,100603.73132794508,22388.42586275559,6215.305465189491,60000.0,12000.0,"[[4, 5], [1, 3], [2, 8, 9, 10], [7], [6]]","[[6, 6], [6, 36], [2, 2, 1, 2], [24], [5]]","[[0.0519616187636201, 0.024991558385889723], [0.03533289283152526, 0.019294887101553426], [0.008592482464139043, 0.026160203486146713, 0.0028369350967497745, 0.0233847788274973], [0.004543021175296415], [0.0920190518372944]]","[2, 1, 1, 1, 1]",1820.7962235764135,1.8432295230473354
Case: 0006,6707.528058052063,614021.6092081195,44755.58823969746,16266.020968421974,500000.0,53000.0,"[[1, 2, 5, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20], [3, 4, 6, 7, 9, 13, 18]]","[[3, 4, 1, 3, 10, 1, 9, 6, 3, 7, 8, 1, 3], [20, 8, 3, 2, 7, 28, 5]]","[[0.008572017195918569, 0.029994124381798278, 0.024147623430238123, 0.02212312995883018, 0.007057222917931677, 0.046728381096627164, 0.13443844091704005, 0.04688392333703629, 0.004592738124957683, 0.06837561559053504, 0.04632216497458776, 0.012293473407157448, 0.018647734748806294], [0.00625198453684101, 0.10202063626047057, 0.03156567219391067, 0.005719686349702712, 0.007447671234506383, 0.005240413756306265, 0.032876499902086284]]","[3, 2]",28399.309422654682,4.849424182285819
Case: 0007,682.1114950180054,1029134.9136022906,77118.12038064723,26016.793221643315,900000.0,26000.0,"[[3, 5, 7, 10], [4, 8], [1, 2, 6, 9]]","[[3, 19, 4, 54], [82, 114], [21, 3, 18, 18]]","[[0.03149485853198298, 0.12005378452705541, 0.022993826160781022, 0.11700874220104696], [0.08483465550397506, 0.0014359176103214688], [0.07491277387353845, 0.01384384018181862, 0.2545190249187889, 0.2963107628639679]]","[2, 5, 2]",32452.69840076205,3.2560727888778604
Case: 0008,1977.212100982666,194563.6718046246,30479.797212547262,9083.874592077324,120000.0,35000.0,"[[1, 3, 9, 11], [2, 6, 10, 14], [7, 15, 16, 18], [12, 17], [5, 8], [4, 13, 20], [19]]","[[1, 9, 11, 18], [3, 4, 7, 2], [4, 8, 4, 7], [11, 5], [17, 5], [2, 3, 3], [3]]","[[0.0005558344062768466, 0.016972325952143482, 0.01370682422780159, 0.0062677711190089625], [0.02589454793848174, 0.050378141141123066, 0.012070759856027222, 0.03061552073987461], [0.0741468898151235, 0.0006172040101023561, 0.03475131580356789, 0.00545189499161196], [0.03028148618739541, 0.010459688901609204], [0.01490772397537101, 0.050507641699406115], [0.024019014549674284, 0.018970598048439764, 0.029737323282612933], [0.02306522098249473]]","[2, 2, 1, 2, 2, 2, 1]",9977.794175808376,5.4055024707105295
Case: 0009,1046.1717791557312,68652.92943595955,12417.197736563669,3935.7316993958966,50000.0,2300.0,"[[1, 4, 5, 6, 7, 8, 9], [2, 3, 10]]","[[3, 2, 2, 3, 1, 5, 2], [625, 1185, 444]]","[[0.006582297508178274, 0.03792499535859727, 0.0009514546098718654, 0.008493523506140256, 0.004654507413242695, 0.017204713302274223, 0.028648533085541734], [0.7647892858737585, 1.528707842303238, 3.12276501120082]]","[2, 3]",1126.9169104081811,1.6688634027986824
Case: 0010,2270.9182119369507,778549.807041271,59253.712676919866,19296.094364351193,500000.0,200000.0,"[[2, 6, 8, 10, 12, 14, 15, 18, 19], [4, 11, 17], [16, 20], [1, 7], [3, 5, 9, 13]]","[[1, 2, 2, 1, 1, 2, 2, 1, 1], [6, 5, 2], [17, 2], [7, 92], [4, 2, 8, 3]]","[[0.010513474929269188, 0.010676482931518917, 0.00840409421816711, 0.017662593812779695, 0.012880813171746188, 0.016152721452569886, 0.011322152460307155, 0.012347817056167254, 0.008010605057599218], [0.013622445675202072, 0.02396458002378411, 0.013685567449678833], [0.197724701900771, 0.028107530275543163], [0.01729683957197386, 0.1023638057082524], [0.04726255900583829, 0.01864552927631207, 0.09885683392277084, 0.03325740150809217]]","[1, 1, 1, 1, 1]",-59853.836055804044,-7.139023851888706
