algorithm_type,case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock,Case  ID,n_sku,n_initial_servers,util_rate,cost_hmin,holding_cost_work_load_relation,server_cost,cross_trainnig_cost
CIE_SA,Case: 0001,1097.64700007439,608738.385323317,58865.3783243878,19873.0069989295,400000,130000,3224.66776915989,0.532550737609255,3,4,1.33333333333333,3.25,32.5,88,1,10,5,0.65,1,IND,100,0.1
CIE_SA,Case: 0002,4493.11500000954,95316.6539619874,24132.8216856067,8583.83227638072,60000,2600,18138.5801376037,23.502245182845,5,6,1.2,4.33333333333333,21.6666666666667,63,2,20,5,0.65,1,IND,10,0.01
CIE_SA,Case: 0003,5265.78099989891,115271.36154344,16430.0228358704,4641.33870756932,90000,4200,2764.34787011756,2.45704492534499,2,9,4.5,4.66666666666667,46.6666666666667,69,3,10,10,0.65,1,IND,10,0.01
CIE_SA,Case: 0004,7767.35899996758,1186898.21398497,66215.1698833101,20683.044101659,800000,300000,-352862.547848651,-22.9167125565952,5,8,1.6,3.75,18.75,197,4,20,10,0.65,1,IND,100,0.1
CIE_SA,Case: 0005,1988.54600000381,97020.8361188668,15048.6669818984,5972.16913696837,60000,16000,-1762.09898550187,-1.78380909986136,4,6,1.5,2.66666666666667,26.6666666666667,56,5,10,5,0.8,1,IND,10,0.1
CIE_SA,Case: 0006,10615.3639998436,631598.013631666,85463.6702273245,26134.3434043418,500000,20000,45975.7138462016,7.85074507289838,5,5,1,4,20,217,6,20,5,0.8,1,IND,100,0.01
CIE_SA,Case: 0007,2750.79600000381,978989.467098633,38165.6805889417,10823.786509691,900000,30000,-17692.7481028958,-1.77516442382975,3,9,3,3.33333333333333,33.3333333333333,248,7,10,10,0.8,1,IND,100,0.01
CIE_SA,Case: 0008,8727.38100004196,183558.792568842,32041.8701057814,10516.9224630603,110000,31000,-1027.08505997463,-0.556426674222607,7,11,1.57142857142857,2.81818181818182,14.0909090909091,144,8,20,10,0.8,1,IND,10,0.1
CIE_SA,Case: 0009,2620.6740000248,68652.9294359596,12417.1977365637,3935.73169939589,50000,2300,1126.91691040818,1.66886340279868,2,5,2.5,4.6,46,2272,9,10,5,0.65,100,IND,10,0.01
CIE_SA,Case: 0010,2703.45499992371,760548.279781404,46341.0241876877,14207.2555937158,500000,200000,-77855.3633156716,-9.28614325053178,5,5,1,4,20,87,10,20,5,0.65,100,IND,100,0.1
CIE_SA,Case: 0011,1077.48200011253,1042867.63660163,87666.3657137152,25201.2708879182,800000,130000,-73446.6903200598,-6.5793915341563,6,8,1.33333333333333,1.625,16.25,158,11,10,10,0.65,100,IND,100,0.1
CIE_SA,Case: 0012,10321.1860001087,144416.913815234,29160.6575159767,9356.2562992568,100000,5900,4454.438450524,3.18259479115154,4,10,2.5,5.9,29.5,413,12,20,10,0.65,100,IND,10,0.01
CIE_SA,Case: 0013,2341.34700012207,650065.18667975,105332.129460177,29733.0572195733,500000,15000,51972.2821233985,8.68966706133223,3,5,1.66666666666667,3,30,171,13,10,5,0.8,100,IND,100,0.01
