"algorithm_type","case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP","num_clusters","num_used_servers","avg_num_servers_per_cluster","avg_num_skills_per_server","avg_cross_training_perf","total_stock","Case  ID","n_sku","n_initial_servers","util_rate","cost_hmin","holding_cost_work_load_relation","server_cost","cross_trainnig_cost"
"CIE_SA","Case: 0001",1097.64700007439,608738.385323317,58865.3783243878,19873.0069989295,400000,130000,"[[5], [1, 2, 9], [3, 4, 6, 7, 8, 10]]","[[32], [18, 3, 2], [3, 11, 7, 2, 6, 4]]","[[0.37940812078510394], [0.19528019763046842, 0.019126448465183497, 0.03844994047933661], [0.05799237191411136, 0.0004293528101896908, 0.033940106761182656, 0.007161668236272297, 0.0026489674209385344, 0.038996358024794515]]","[1, 2, 1]",3224.66776915989,0.532550737609255,3,4,1.33333333333333,3.25,32.5,88,001,10,5,0.65,1,"IND",100,0.1
"CIE_SA","Case: 0002",4493.11500000954,95316.6539619874,24132.8216856067,8583.83227638072,60000,2600,"[[4, 6, 13, 16], [14, 17, 19], [10, 11], [1, 8, 12, 15, 20], [2, 3, 5, 7, 9, 18]]","[[6, 1, 3, 2], [6, 15, 6], [4, 2], [1, 1, 3, 1, 0], [1, 1, 3, 2, 3, 2]]","[[0.0037131526337674417, 0.0026002512516880845, 0.012892274448832699, 0.03816968257644422], [0.008173536651938098, 0.06852668867359522, 0.0005029765535207645], [0.03038683424583109, 0.007881981694917325], [0.010756471540931865, 0.00639773930078931, 0.0009430739085707269, 0.0035391790758673, 0.032564258691926605], [0.01206003078835744, 0.04430094449492935, 0.01664901022268053, 0.0005540629218987263, 0.016556138311056155, 0.0235130177567031]]","[1, 1, 1, 1, 2]",18138.5801376037,23.502245182845,5,6,1.2,4.33333333333333,21.6666666666667,63,002,20,5,0.65,1,"IND",10,0.01
"CIE_SA","Case: 0003",5265.78099989891,115271.36154344,16430.0228358704,4641.33870756932,90000,4200,"[[1, 2, 3, 4, 6, 10], [5, 7, 8, 9]]","[[5, 4, 8, 3, 4, 1], [28, 7, 5, 4]]","[[0.001153684141460576, 0.00013242492467557053, 0.016089007871056042, 0.04374479233963283, 0.04036338369666884, 0.0053493638435121605], [0.10498400348019254, 0.06726118815634119, 0.008737093690664761, 0.048746531817728415]]","[3, 6]",2764.34787011756,2.45704492534499,2,9,4.5,4.66666666666667,46.6666666666667,69,003,10,10,0.65,1,"IND",10,0.01
"CIE_SA","Case: 0004",7767.35899996758,1186898.21398497,66215.1698833101,20683.044101659,800000,300000,"[[1, 7, 12, 14, 16, 19], [5, 8, 9, 15, 17], [3, 10], [6, 11, 13, 18], [2, 4, 20]]","[[3, 4, 12, 3, 4, 7], [3, 6, 2, 6, 8], [11, 9], [45, 45, 6, 5], [3, 5, 10]]","[[0.013394458022038258, 0.01967309374003259, 0.0003283745474605794, 0.047732902960963594, 0.039722860403678006, 0.04390063279697648], [0.03963630805122275, 0.0023250514334136004, 0.03538806209995918, 0.007140336076249816, 0.021108179523750673], [0.08305670339830241, 0.013243796642016187], [0.071325610007981, 0.048573071178946416, 0.09041415533043648, 0.07525045453158802], [0.047430417830789516, 0.05073621924189385, 0.10246536856229761]]","[1, 1, 2, 3, 1]",-352862.547848651,-22.9167125565952,5,8,1.6,3.75,18.75,197,004,20,10,0.65,1,"IND",100,0.1
"CIE_SA","Case: 0005",1988.54600000381,97020.8361188668,15048.6669818984,5972.16913696837,60000,16000,"[[3, 8, 9], [1, 2, 6, 10], [7], [4, 5]]","[[9, 1, 0], [3, 2, 3, 2], [24], [6, 6]]","[[0.006132543741116256, 0.029173122335795314, 0.04239193408144864], [0.019744126211828944, 0.006423599868963201, 0.0730845274903817, 0.01936140276752623], [0.004543021175296415], [0.05196161876362007, 0.024991558385889703]]","[1, 2, 1, 2]",-1762.09898550187,-1.78380909986136,4,6,1.5,2.66666666666667,26.6666666666667,56,005,10,5,0.8,1,"IND",10,0.1
"CIE_SA","Case: 0006",10615.3639998436,631598.013631666,85463.6702273245,26134.3434043418,500000,20000,"[[6, 8], [3, 10, 13, 16, 19, 20], [1, 2, 5, 11, 12, 17], [4, 14], [7, 9, 15, 18]]","[[5, 15], [15, 24, 20, 19, 2, 6], [5, 7, 2, 2, 17, 15], [6, 15], [2, 13, 15, 12]]","[[0.07140962244526775, 0.06302753726207316], [0.0038263428485651183, 0.01568975789904436, 0.0039474369925765135, 0.12061997959574908, 0.02711833412444024, 0.03401061396897113], [0.008191343835741917, 0.03175384110987165, 0.018848405804675086, 0.04049288232538116, 0.1893023528270087, 0.054546200530368606], [0.10096339760986142, 0.13016927054436173], [0.03507102477233564, 0.023380574166161853, 0.04198458538044594, 0.0481447692243099]]","[1, 1, 1, 1, 1]",45975.7138462016,7.85074507289838,5,5,1,4,20,217,006,20,5,0.8,1,"IND",100,0.01
"CIE_SA","Case: 0007",2750.79600000381,978989.467098633,38165.6805889417,10823.786509691,900000,30000,"[[1, 3, 5, 6, 9, 10], [4, 8], [2, 7]]","[[4, 1, 3, 4, 4, 8], [82, 114], [10, 18]]","[[0.013185379440395207, 0.01760248328776377, 0.03210368154376415, 0.037022165530128284, 0.06014794156365014, 0.020824271905137942], [0.08483465550397486, 0.001435917610321478], [0.08793623497813689, 0.06818037953477661]]","[3, 5, 1]",-17692.7481028958,-1.77516442382975,3,9,3,3.33333333333333,33.3333333333333,248,007,10,10,0.8,1,"IND",100,0.01
"CIE_SA","Case: 0008",8727.38100004196,183558.792568842,32041.8701057814,10516.9224630603,110000,31000,"[[3, 12], [2, 4, 16, 17], [10, 14], [5, 8], [1, 9, 11, 19], [6, 7, 20], [13, 15, 18]]","[[4, 14], [3, 3, 2, 4], [8, 3], [17, 5], [1, 14, 23, 5], [4, 3, 3], [7, 11, 10]]","[[0.00528871027360215, 0.04668325945420576], [0.03268340584875994, 0.020318720096086446, 0.04839895194067536, 0.007208084046268177], [0.012732777518564426, 0.013386990373177227], [0.014907723975370995, 0.05050764169940608], [0.000634268789848442, 0.011854386801163271, 0.008617949304233739, 0.018814257071893496], [0.07941193151646658, 0.06332149810355366, 0.0757020128451024], [0.026293689482700507, 0.0013154564039672637, 0.009974822085597697]]","[2, 1, 1, 2, 2, 2, 1]",-1027.08505997463,-0.556426674222607,7,11,1.57142857142857,2.81818181818182,14.0909090909091,144,008,20,10,0.8,1,"IND",10,0.1
"CIE_SA","Case: 0009",2620.6740000248,68652.9294359596,12417.1977365637,3935.73169939589,50000,2300,"[[2, 3, 10], [1, 4, 5, 6, 7, 8, 9]]","[[625, 1185, 444], [3, 2, 2, 3, 1, 5, 2]]","[[0.7647892858714829, 1.5287078423007474, 3.1227650111945744], [0.006582297508178255, 0.03792499535859714, 0.0009514546098718633, 0.008493523506140207, 0.004654507413242697, 0.01720471330227424, 0.028648533085541703]]","[3, 2]",1126.91691040818,1.66886340279868,2,5,2.5,4.6,46,2272,009,10,5,0.65,100,"IND",10,0.01
"CIE_SA","Case: 0010",2703.45499992371,760548.279781404,46341.0241876877,14207.2555937158,500000,200000,"[[3, 4], [9, 12, 13, 17, 20], [2, 5, 7, 10, 18, 19], [1, 11], [6, 8, 14, 15, 16]]","[[5, 6], [5, 6, 2, 1, 2], [3, 1, 13, 3, 3, 2], [6, 6], [3, 4, 5, 5, 6]]","[[0.04093477771944287, 0.018718347588979813], [0.050851688267020495, 0.05145078673275281, 0.01969232240288392, 0.02171916776239196, 0.02466958676757286], [0.02104185040882793, 0.008183395243017194, 0.01645257217751484, 0.03350394065848204, 0.018340287805780255, 0.015338241597290688], [0.015220846296078578, 0.02204825852547629], [0.027906892477250558, 0.02039801775322054, 0.029796672553913564, 0.01801754588128736, 0.0431392160623085]]","[1, 1, 1, 1, 1]",-77855.3633156716,-9.28614325053178,5,5,1,4,20,87,010,20,5,0.65,100,"IND",100,0.1
