case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0001,352.257891178131,608738.385323317,58865.3783243878,19873.0069989295,400000,130000,"[[3, 4, 6, 7, 8, 10], [1, 2, 9], [5]]","[[3, 11, 7, 2, 6, 4], [18, 3, 2], [32]]","[[0.05799237191411139, 0.0004293528101896908, 0.03394010676118257, 0.007161668236272297, 0.002648967420938536, 0.038996358024794515], [0.195280197630468, 0.019126448465183517, 0.03844994047933667], [0.37940812078510394]]","[1, 2, 1]",3224.66776915989,0.532550737609255,3,4,1.33333333333333,3.25,32.5,88
Case: 0002,6045.67247104645,81713.8301074006,17471.5025459329,6842.32756146762,50000,7400,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20], [17, 19]]","[[4, 3, 2, 9, 6, 1, 2, 3, 6, 4, 2, 10, 4, 2, 1, 3, 5, 1], [11, 5]]","[[0.058852923537637394, 0.009082673702658188, 0.035199413591414486, 0.002745931919130075, 0.03870349523527077, 0.0034191641099549737, 0.0030776165004327036, 0.014239475167797628, 0.022398614950338847, 0.023411671765689715, 0.0064426472566227275, 0.0017950113231046006, 0.016831666174517812, 0.0003819610388911749, 0.039862529860334554, 0.03727844540627705, 0.03489629181935203, 0.015476882072427789], [0.04975101814440689, 0.00032796100757299235]]","[4, 1]",4535.75628301688,5.8770011458667,2,5,2.5,14.8,74,84
Case: 0003,29601.5696489811,115573.597196374,19795.4535042233,7778.1436921511,80000,8000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[22, 14, 48, 19, 29, 16, 7, 5, 4, 3]]","[[0.008844606049262078, 0.000923630954127927, 0.08749692942078335, 0.2103308283746502, 0.09532566256227457, 0.23318866491287712, 0.07115569679285702, 0.008924571585507966, 0.05282121962967716, 0.03639149586095097]]",[8],3066.58352305224,2.72568209121294,1,8,8,10,100,167
Case: 0004,4003.37952589989,1221376.27561667,47822.4004211727,13553.8751954984,900000,260000,"[[5, 7, 8, 12, 15], [2, 4, 9, 11], [1, 14, 16, 17, 19], [10, 18], [3, 13], [6, 20]]","[[2, 3, 4, 11, 4], [3, 4, 5, 9], [2, 2, 2, 3, 4], [5, 4], [8, 7], [13, 10]]","[[0.030563474178325126, 0.04018573228432928, 0.001487807169036501, 0.0005183187956434642, 0.005149102826492576], [0.018055858596388284, 0.03267707141817057, 0.040871047171143364, 0.010388280836941936], [0.009229141316247212, 0.022032284976128406, 0.04303101169359847, 0.011107132569636224, 0.022747948642091884], [0.0050505233650468915, 0.04908298306039392], [0.04432437689160049, 0.07461858607951828], [0.01591637222155981, 0.08184436357196072]]","[1, 1, 1, 1, 3, 2]",-318384.486216949,-20.6775295298343,6,9,1.5,2.88888888888889,14.4444444444444,105
Case: 0005,659.02087688446,97020.8361188668,15048.6669818984,5972.16913696837,60000,16000,"[[1, 2, 6, 10], [7], [4, 5], [3, 8, 9]]","[[3, 2, 3, 2], [24], [6, 6], [9, 1, 0]]","[[0.019744126211828958, 0.006423599868963203, 0.0730845274903817, 0.019361402767526237], [0.004543021175296415], [0.0519616187636201, 0.024991558385889723], [0.006132543741116263, 0.029173122335795325, 0.042391934081448666]]","[2, 1, 2, 1]",-1762.09898550187,-1.78380909986136,4,6,1.5,2.66666666666667,26.6666666666667,56
Case: 0006,5872.44886898994,609200.777131155,58202.3807283946,17998.3964027605,500000,33000,"[[6, 9], [1, 2, 3, 5, 10, 11, 12, 13, 14, 15, 16, 17, 19], [4, 20], [7, 8, 18]]","[[4, 10], [3, 4, 5, 1, 7, 1, 7, 7, 5, 2, 6, 6, 1], [14, 14], [2, 14, 10]]","[[0.06174100630347828, 0.016903614062045963], [0.00342534466659359, 0.01213297542444161, 0.0016997366564433219, 0.015867999400800723, 0.007096548306524949, 0.033347569569683995, 0.08422925395614027, 0.0009655485281781293, 0.02641843838992805, 0.00930317994349949, 0.035826379887010304, 0.032655616743339416, 0.00696081219144535], [0.18398708178870674, 0.06633894174899264], [0.025603764441091168, 0.05617498658131251, 0.05105051267112468]]","[1, 2, 1, 1]",23578.4773456904,4.02622600852598,4,5,1.25,6.6,33,123
Case: 0007,2695.70623707771,978989.467098633,38165.6805889417,10823.786509691,900000,30000,"[[1, 3, 5, 6, 9, 10], [4, 8], [2, 7]]","[[4, 1, 3, 4, 4, 8], [82, 114], [10, 18]]","[[0.01318537944039521, 0.017602483287763718, 0.032103681543764195, 0.037022165530128534, 0.06014794156365033, 0.02082427190513779], [0.08483465550397506, 0.0014359176103214688], [0.08793623497813689, 0.06818037953477646]]","[3, 5, 1]",-17692.7481028958,-1.77516442382975,3,9,3,3.33333333333333,33.3333333333333,248
Case: 0008,3278.59679102898,183646.649194959,32226.1543991145,10420.4947958449,110000,31000,"[[1, 9, 11, 19], [5, 8], [10, 15, 17], [6, 7, 20], [2, 4, 16, 18], [13, 14], [3, 12]]","[[1, 14, 23, 5], [17, 5], [8, 6, 4], [4, 3, 3], [3, 3, 2, 4], [7, 5], [4, 14]]","[[0.0006342687898484396, 0.011854386801163273, 0.00861794930423399, 0.018814257071893527], [0.01490772397537101, 0.050507641699406115], [0.013810106822548386, 0.000538704465872915, 0.010234062239733513], [0.07941193151646643, 0.06332149810355359, 0.07570201284510236], [0.027155400075942585, 0.01591479095068628, 0.039162105277616585, 0.0071309979353070185], [0.023129312305866026, 0.03021239128397696], [0.005288710273602146, 0.046683259454205706]]","[2, 2, 1, 2, 1, 1, 2]",-939.228433856915,-0.508830061065457,7,11,1.57142857142857,2.81818181818182,14.0909090909091,135
Case: 0009,1049.64615607262,68652.9294359596,12417.1977365637,3935.7316993959,50000,2300,"[[1, 4, 5, 6, 7, 8, 9], [2, 3, 10]]","[[3, 2, 2, 3, 1, 5, 2], [625, 1185, 444]]","[[0.006582297508178274, 0.03792499535859727, 0.0009514546098718654, 0.008493523506140256, 0.004654507413242695, 0.017204713302274223, 0.028648533085541734], [0.7647892858737585, 1.528707842303238, 3.12276501120082]]","[2, 3]",1126.91691040818,1.66886340279868,2,5,2.5,4.6,46,2272
Case: 0010,5743.18496894836,675347.705822186,57652.5327571423,17695.1730650441,400000,200000,"[[2, 8, 9, 10, 12, 14, 15, 16, 18], [4, 5, 11, 20], [1, 3, 17], [6, 7, 13, 19]]","[[3, 4, 2, 2, 2, 5, 5, 6, 3], [11, 5, 10, 6], [12, 11, 3], [5, 18, 1, 2]]","[[0.008039623404359429, 0.018227205702375654, 0.018683591201582677, 0.04113028365459844, 0.02442890389160338, 0.02644776231618985, 0.015885781337286565, 0.038773466552564514, 0.007128813076324376], [0.03315814418838983, 0.01846424609394993, 0.03557421766985036, 0.0504562474714865], [0.025981078952338397, 0.07499328835674426, 0.06056654352965472], [0.04399732870065158, 0.02113161883400703, 0.03833426662584133, 0.04305101616047383]]","[1, 1, 1, 1]",-163055.937274889,-19.4483812919226,4,4,1,5,25,116
