case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0001,10111.5898320674,608738.385323317,58865.3783243878,19873.0069989295,400000,130000,"[[3, 4, 6, 7, 8, 10], [1, 2, 9], [5]]","[[3, 11, 7, 2, 6, 4], [18, 3, 2], [32]]","[[0.05799237191411109, 0.0004293528101896818, 0.03394010676118324, 0.007161668236272276, 0.0026489674209385747, 0.038996358024795216], [0.1952801976304687, 0.019126448465183507, 0.03844994047933662], [0.37940812078510394]]","[1, 2, 1]",3224.66776915988,0.532550737609255,3,4,1.33333333333333,3.25,32.5,88
Case: 0002,69457.7356240749,83241.6250075549,17861.6508884334,7679.97411912141,50000,7700,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20], [17]]","[[8, 5, 3, 17, 11, 1, 3, 5, 11, 6, 2, 20, 7, 2, 2, 5, 9, 3, 2], [8]]","[[0.1141508913819958, 0.021172293975796543, 0.06726629408413409, 0.006830476171323174, 0.09225568756173996, 0.0089487056067503, 0.0043512902078447265, 0.03324497400007586, 0.04756445121896726, 0.064106681586215, 0.031713104951881704, 0.0033407061546537413, 0.03599809393408881, 0.0008772474584770215, 0.04863159975237682, 0.0817706378370696, 0.08621306009844462, 3.728291766758e-05, 0.0150911211257221], [0.036872666168481054]]","[4, 1]",6063.55118317125,7.85657231737692,2,5,2.5,15.4,77,130
Case: 0003,89181.5881869793,115573.597196374,19795.4535042233,7778.14369215103,80000,8000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[22, 14, 48, 19, 29, 16, 7, 5, 4, 3]]","[[0.008844606049255637, 0.0009236309541279967, 0.08749692942076459, 0.21033082837466516, 0.0953256625622334, 0.2331886649129108, 0.07115569679285691, 0.008924571585508289, 0.05282121962968753, 0.036391495860945144]]",[8],3066.58352305216,2.72568209121287,1,8,8,10,100,167
Case: 0004,29839.0933060646,1219776.1918986,46149.3872525146,13626.8046460858,900000,260000,"[[1, 7, 8, 14, 16, 19], [4, 20], [2, 11, 12, 18], [5, 9, 15, 17], [3, 13], [6, 10]]","[[2, 3, 3, 2, 3, 5], [3, 6], [4, 15, 86, 2], [3, 2, 6, 8], [8, 7], [18, 3]]","[[0.017106150421233972, 0.016137451556848176, 0.0016320282187290982, 0.043665660301338116, 0.02882626993934058, 0.029916766309644374], [0.03356371492175125, 0.05918163769990349], [0.032272709841500706, 0.013442475603182284, 0.00301594639147811, 0.04204738245257631], [0.03337133185445393, 0.031329021792426526, 0.005592337601028384, 0.01674101690931373], [0.04432437689160046, 0.07461858607951813], [0.027398743932213657, 0.007704986904203599]]","[1, 1, 1, 1, 3, 2]",-319984.569935019,-20.7814472135246,6,9,1.5,2.88888888888889,14.4444444444444,189
Case: 0005,5482.99514412879,97020.8361188667,15048.6669818984,5972.16913696836,60000,16000,"[[7], [4, 5], [1, 2, 6, 10], [3, 8, 9]]","[[24], [6, 6], [3, 2, 3, 2], [9, 1, 0]]","[[0.004543021175296415], [0.051961618763620085, 0.024991558385889713], [0.01974412621182891, 0.006423599868963188, 0.07308452749038147, 0.019361402767526237], [0.006132543741116263, 0.029173122335795325, 0.042391934081448666]]","[1, 2, 2, 1]",-1762.09898550187,-1.78380909986136,4,6,1.5,2.66666666666667,26.6666666666667,56
Case: 0006,42275.2647578716,594462.506864274,34425.780968343,12036.7258959315,500000,48000,"[[1, 4, 6, 7, 8, 9, 18, 20], [2, 3, 5, 10, 11, 12, 13, 14, 15, 16, 17, 19]]","[[7, 6, 3, 1, 6, 6, 5, 6], [3, 4, 1, 6, 1, 5, 5, 3, 2, 4, 5, 1]]","[[0.014439105088590504, 0.10760576126554536, 0.017811353458769295, 0.030586573512070458, 0.028364133259633474, 0.005912493582092881, 0.01420005628000217, 0.04408279292015233], [0.015309224108959855, 0.0012734554772258148, 0.008932650633690553, 0.0033000339891002825, 0.020765650981302692, 0.06601095319402833, 0.0013079693693780203, 0.04097145036004684, 0.004308523595332269, 0.04393642373160246, 0.017028138252050733, 0.0032093613717038795]]","[3, 2]",8840.20707880985,1.50954071968371,2,5,2.5,9.6,48,80
Case: 0007,20665.9107649326,978989.467098632,38165.6805889416,10823.786509691,900000,30000,"[[2, 7], [1, 3, 5, 6, 9, 10], [4, 8]]","[[10, 18], [4, 1, 3, 4, 4, 8], [82, 114]]","[[0.08793623497813695, 0.06818037953477654], [0.013185379440395209, 0.017602483287763787, 0.03210368154376414, 0.03702216553012831, 0.06014794156365012, 0.020824271905137942], [0.08483465550397556, 0.0014359176103215159]]","[1, 3, 5]",-17692.7481028958,-1.77516442382974,3,9,3,3.33333333333333,33.3333333333333,248
Case: 0008,33667.0174500942,183535.064192693,31890.6187542347,10644.4454384584,110000,31000,"[[3, 12], [5, 8], [1, 9, 11, 19], [2, 14, 17], [4, 10, 16], [13, 15, 18], [6, 7, 20]]","[[4, 14], [17, 5], [1, 14, 23, 5], [3, 3, 5], [3, 6, 2], [7, 11, 10], [4, 3, 3]]","[[0.00528871027360215, 0.04668325945420579], [0.014907723975371033, 0.0505076416994061], [0.0006342687898484354, 0.011854386801163217, 0.008617949304233272, 0.0188142570718934], [0.06443682071953222, 0.02314590249912108, 0.008064525855914323], [0.008867954827880154, 0.011737688137262642, 0.025121499002214033], [0.0262936894827005, 0.001315456403967263, 0.009974822085597693], [0.07941193151646653, 0.06332149810355364, 0.07570201284510243]]","[2, 2, 2, 1, 1, 1, 2]",-1050.81343612301,-0.569281599232688,7,11,1.57142857142857,2.81818181818182,14.0909090909091,143
Case: 0009,5027.2281551361,68652.9294359595,12417.1977365636,3935.73169939589,50000,2300,"[[1, 4, 5, 6, 7, 8, 9], [2, 3, 10]]","[[3, 2, 2, 3, 1, 5, 2], [625, 1185, 444]]","[[0.006582297508178276, 0.03792499535859726, 0.000951454609871866, 0.00849352350614026, 0.004654507413242697, 0.017204713302274216, 0.02864853308554174], [0.7647892858743192, 1.528707842304312, 3.122765011203039]]","[2, 3]",1126.91691040819,1.6688634027987,2,5,2.5,4.6,46,2272
Case: 0010,27127.805701971,752044.229772471,38465.7493958243,13578.4803766474,500000,200000,"[[4, 5, 6, 13], [2, 8, 10, 12, 14, 15, 16], [1, 3], [7, 9, 18, 19], [11, 17, 20]]","[[3, 1, 6, 1], [2, 3, 2, 2, 4, 4, 4], [8, 7], [10, 2, 3, 1], [5, 2, 3]]","[[0.009609040769189328, 0.015589230162422208, 0.055879195854021346, 0.041988841821508104], [0.011233095529319849, 0.016706803022171975, 0.018031532993153028, 0.010568516085285425, 0.01814523909416027, 0.01125138451940658, 0.05549036554989338], [0.019354734878983586, 0.06170506392647555], [0.010193151521188274, 0.017536182016077134, 0.0065543111675825045, 0.038100522418594907], [0.025342930910350843, 0.014140655169546008, 0.03710379355098561]]","[1, 1, 1, 1, 1]",-86359.4133246032,-10.3004577849388,5,5,1,4,20,73
